datetime,CZCE.UR001.open,CZCE.UR001.high,CZCE.UR001.low,CZCE.UR001.close,CZCE.UR001.volume,CZCE.UR001.open_oi,CZCE.UR001.close_oi
2019-08-15 09:00:00.000000000,1738.0,1741.0,1732.0,1737.0,8484,91742,92540
2019-08-15 09:01:00.000000000,1737.0,1740.0,1736.0,1738.0,4922,92540,93658
2019-08-15 09:02:00.000000000,1738.0,1739.0,1730.0,1731.0,4238,93658,94004
2019-08-15 09:03:00.000000000,1731.0,1732.0,1726.0,1729.0,4894,94004,94994
2019-08-15 09:04:00.000000000,1729.0,1730.0,1728.0,1728.0,1608,94994,95554
2019-08-15 09:05:00.000000000,1728.0,1732.0,1728.0,1732.0,1360,95554,95804
2019-08-15 09:06:00.000000000,1732.0,1732.0,1729.0,1731.0,1266,95804,96238
2019-08-15 09:07:00.000000000,1731.0,1734.0,1730.0,1734.0,1356,96238,96598
2019-08-15 09:08:00.000000000,1734.0,1734.0,1730.0,1731.0,1532,96598,96942
2019-08-15 09:09:00.000000000,1731.0,1731.0,1724.0,1724.0,5000,96942,98228
2019-08-15 09:10:00.000000000,1724.0,1728.0,1724.0,1727.0,3416,98228,99338
2019-08-15 09:11:00.000000000,1727.0,1729.0,1726.0,1729.0,2456,99338,100100
2019-08-15 09:12:00.000000000,1729.0,1736.0,1729.0,1735.0,5110,100100,99958
2019-08-15 09:13:00.000000000,1735.0,1736.0,1732.0,1734.0,4704,99958,100814
2019-08-15 09:14:00.000000000,1734.0,1736.0,1732.0,1735.0,2474,100814,101688
2019-08-15 09:15:00.000000000,1735.0,1736.0,1734.0,1734.0,1576,101688,101784
2019-08-15 09:16:00.000000000,1734.0,1744.0,1733.0,1740.0,8494,101784,101270
2019-08-15 09:17:00.000000000,1740.0,1741.0,1737.0,1738.0,3144,101270,101222
2019-08-15 09:18:00.000000000,1738.0,1740.0,1737.0,1739.0,2002,101222,101790
2019-08-15 09:19:00.000000000,1739.0,1740.0,1738.0,1740.0,1714,101790,102370
2019-08-15 09:20:00.000000000,1740.0,1740.0,1737.0,1737.0,1484,102370,102194
2019-08-15 09:21:00.000000000,1737.0,1738.0,1736.0,1738.0,1000,102194,102554
2019-08-15 09:22:00.000000000,1738.0,1740.0,1737.0,1737.0,2054,102554,102620
2019-08-15 09:23:00.000000000,1737.0,1739.0,1737.0,1738.0,720,102620,102676
2019-08-15 09:24:00.000000000,1738.0,1739.0,1736.0,1737.0,1008,102676,102812
2019-08-15 09:25:00.000000000,1737.0,1737.0,1735.0,1736.0,1826,102812,103270
2019-08-15 09:26:00.000000000,1736.0,1738.0,1736.0,1738.0,800,103270,103374
2019-08-15 09:27:00.000000000,1738.0,1738.0,1736.0,1736.0,566,103374,103348
2019-08-15 09:28:00.000000000,1736.0,1738.0,1736.0,1737.0,988,103348,103210
2019-08-15 09:29:00.000000000,1737.0,1743.0,1737.0,1743.0,3390,103210,103928
2019-08-15 09:30:00.000000000,1743.0,1743.0,1740.0,1741.0,2818,103928,104438
2019-08-15 09:31:00.000000000,1741.0,1744.0,1740.0,1741.0,4884,104438,104590
2019-08-15 09:32:00.000000000,1741.0,1741.0,1736.0,1737.0,3378,104590,106124
