datetime,DCE.c2001.open,DCE.c2001.high,DCE.c2001.low,DCE.c2001.close,DCE.c2001.volume,DCE.c2001.open_oi,DCE.c2001.close_oi
2019-08-15 09:00:00.000000000,1915.0,1915.0,1913.0,1913.0,4228,977032,976094
2019-08-15 09:01:00.000000000,1913.0,1915.0,1913.0,1914.0,2928,976094,975556
2019-08-15 09:02:00.000000000,1914.0,1915.0,1914.0,1915.0,316,975556,975414
2019-08-15 09:03:00.000000000,1915.0,1916.0,1914.0,1915.0,1812,975414,975958
2019-08-15 09:04:00.000000000,1915.0,1916.0,1914.0,1915.0,3578,975958,976644
2019-08-15 09:05:00.000000000,1915.0,1915.0,1913.0,1914.0,2348,976644,976162
2019-08-15 09:06:00.000000000,1914.0,1914.0,1913.0,1913.0,1472,976162,975486
2019-08-15 09:07:00.000000000,1913.0,1914.0,1913.0,1913.0,462,975486,975244
2019-08-15 09:08:00.000000000,1913.0,1913.0,1911.0,1912.0,6730,975244,974984
2019-08-15 09:09:00.000000000,1912.0,1913.0,1911.0,1912.0,1890,974984,974684
2019-08-15 09:10:00.000000000,1912.0,1912.0,1911.0,1912.0,1410,974684,974418
2019-08-15 09:11:00.000000000,1912.0,1912.0,1911.0,1911.0,1686,974418,973750
2019-08-15 09:12:00.000000000,1911.0,1912.0,1911.0,1911.0,232,973750,973634
2019-08-15 09:13:00.000000000,1911.0,1914.0,1911.0,1913.0,3198,973634,972668
2019-08-15 09:14:00.000000000,1913.0,1914.0,1912.0,1913.0,2552,972668,972648
2019-08-15 09:15:00.000000000,1913.0,1914.0,1913.0,1914.0,340,972648,972474
2019-08-15 09:16:00.000000000,1914.0,1914.0,1913.0,1914.0,614,972474,972682
2019-08-15 09:17:00.000000000,1914.0,1914.0,1913.0,1913.0,420,972682,972846
2019-08-15 09:18:00.000000000,1913.0,1914.0,1913.0,1914.0,406,972846,972726
2019-08-15 09:19:00.000000000,1914.0,1914.0,1913.0,1914.0,380,972726,972544
2019-08-15 09:20:00.000000000,1914.0,1914.0,1912.0,1912.0,2206,972544,972718
2019-08-15 09:21:00.000000000,1912.0,1913.0,1912.0,1913.0,1070,972718,972128
2019-08-15 09:22:00.000000000,1913.0,1913.0,1912.0,1912.0,248,972128,972206
2019-08-15 09:23:00.000000000,1912.0,1913.0,1912.0,1913.0,168,972206,972196
2019-08-15 09:24:00.000000000,1913.0,1913.0,1912.0,1912.0,718,972196,972240
2019-08-15 09:25:00.000000000,1912.0,1912.0,1911.0,1911.0,2136,972240,972302
2019-08-15 09:26:00.000000000,1911.0,1913.0,1911.0,1913.0,2882,972302,971960
2019-08-15 09:27:00.000000000,1913.0,1913.0,1911.0,1912.0,1110,971960,971458
2019-08-15 09:28:00.000000000,1912.0,1913.0,1912.0,1913.0,648,971458,971416
2019-08-15 09:29:00.000000000,1913.0,1913.0,1912.0,1913.0,470,971416,971322
2019-08-15 09:30:00.000000000,1913.0,1913.0,1912.0,1913.0,152,971322,971302
2019-08-15 09:31:00.000000000,1913.0,1913.0,1912.0,1912.0,142,971302,971290
2019-08-15 09:32:00.000000000,1912.0,1913.0,1912.0,1913.0,362,971290,971358
