datetime,SHFE.ag1912.open,SHFE.ag1912.high,SHFE.ag1912.low,SHFE.ag1912.close,SHFE.ag1912.volume,SHFE.ag1912.open_oi,SHFE.ag1912.close_oi
2019-08-15 09:00:00.000000000,4242.0,4254.0,4238.0,4253.0,19972,1262626,1262454
2019-08-15 09:01:00.000000000,4253.0,4258.0,4252.0,4257.0,11940,1262454,1263802
2019-08-15 09:02:00.000000000,4257.0,4257.0,4252.0,4256.0,8248,1263802,1263882
2019-08-15 09:03:00.000000000,4256.0,4265.0,4256.0,4261.0,15334,1263882,1266132
2019-08-15 09:04:00.000000000,4261.0,4274.0,4260.0,4272.0,20534,1266132,1269398
2019-08-15 09:05:00.000000000,4272.0,4274.0,4265.0,4266.0,12956,1269398,1269534
2019-08-15 09:06:00.000000000,4266.0,4271.0,4265.0,4269.0,12544,1269534,1269154
2019-08-15 09:07:00.000000000,4269.0,4269.0,4264.0,4264.0,6824,1269154,1269254
2019-08-15 09:08:00.000000000,4264.0,4268.0,4263.0,4266.0,5542,1269254,1268854
2019-08-15 09:09:00.000000000,4266.0,4267.0,4264.0,4266.0,4582,1268854,1268802
2019-08-15 09:10:00.000000000,4266.0,4267.0,4261.0,4264.0,5954,1268802,1268572
2019-08-15 09:11:00.000000000,4264.0,4265.0,4262.0,4264.0,3232,1268572,1268720
2019-08-15 09:12:00.000000000,4264.0,4271.0,4263.0,4270.0,6952,1268720,1269724
2019-08-15 09:13:00.000000000,4270.0,4270.0,4265.0,4267.0,5502,1269724,1270460
2019-08-15 09:14:00.000000000,4267.0,4272.0,4266.0,4272.0,7692,1270460,1271340
2019-08-15 09:15:00.000000000,4272.0,4277.0,4270.0,4276.0,11784,1271340,1273060
2019-08-15 09:16:00.000000000,4276.0,4277.0,4271.0,4275.0,8684,1273060,1272826
2019-08-15 09:17:00.000000000,4275.0,4276.0,4270.0,4270.0,5990,1272826,1273158
2019-08-15 09:18:00.000000000,4270.0,4274.0,4269.0,4272.0,4580,1273158,1273538
2019-08-15 09:19:00.000000000,4272.0,4273.0,4267.0,4269.0,4718,1273538,1273912
2019-08-15 09:20:00.000000000,4269.0,4272.0,4268.0,4269.0,4876,1273912,1275020
2019-08-15 09:21:00.000000000,4269.0,4271.0,4266.0,4269.0,4998,1275020,1274292
2019-08-15 09:22:00.000000000,4269.0,4271.0,4269.0,4270.0,1390,1274292,1274184
2019-08-15 09:23:00.000000000,4270.0,4271.0,4267.0,4270.0,2024,1274184,1274362
2019-08-15 09:24:00.000000000,4270.0,4275.0,4270.0,4272.0,3770,1274362,1274622
2019-08-15 09:25:00.000000000,4272.0,4274.0,4271.0,4274.0,2172,1274622,1274724
2019-08-15 09:26:00.000000000,4274.0,4277.0,4273.0,4275.0,5498,1274724,1275654
2019-08-15 09:27:00.000000000,4275.0,4276.0,4272.0,4273.0,2952,1275654,1275952
2019-08-15 09:28:00.000000000,4273.0,4274.0,4269.0,4272.0,3526,1275952,1276102
2019-08-15 09:29:00.000000000,4272.0,4273.0,4270.0,4272.0,2760,1276102,1276206
2019-08-15 09:30:00.000000000,4272.0,4274.0,4271.0,4273.0,3684,1276206,1276000
2019-08-15 09:31:00.000000000,4273.0,4279.0,4273.0,4276.0,6252,1276000,1276406
2019-08-15 09:32:00.000000000,4276.0,4276.0,4272.0,4274.0,4134,1276406,1276408
2019-08-15 09:33:00.000000000,4274.0,4274.0,4271.0,4272.0,2470,1276408,1276212
2019-08-15 09:34:00.000000000,4272.0,4276.0,4272.0,4275.0,2734,1276212,1275662
2019-08-15 09:35:00.000000000,4275.0,4276.0,4274.0,4275.0,2784,1275662,1276510
2019-08-15 09:36:00.000000000,4275.0,4280.0,4273.0,4279.0,5682,1276510,1277230
2019-08-15 09:37:00.000000000,4279.0,4281.0,4277.0,4278.0,6688,1277230,1277860
2019-08-15 09:38:00.000000000,4278.0,4278.0,4274.0,4277.0,3924,1277860,1278360
2019-08-15 09:39:00.000000000,4277.0,4277.0,4272.0,4273.0,3918,1278360,1277780
2019-08-15 09:40:00.000000000,4273.0,4275.0,4273.0,4274.0,1776,1277780,1277510
2019-08-15 09:41:00.000000000,4274.0,4274.0,4270.0,4272.0,4694,1277510,1276772
2019-08-15 09:42:00.000000000,4272.0,4272.0,4269.0,4270.0,5442,1276772,1277020
2019-08-15 09:43:00.000000000,4270.0,4274.0,4270.0,4272.0,6396,1277020,1276612
2019-08-15 09:44:00.000000000,4272.0,4273.0,4268.0,4268.0,4288,1276612,1276520
2019-08-15 09:45:00.000000000,4268.0,4270.0,4265.0,4266.0,9296,1276520,1273298
2019-08-15 09:46:00.000000000,4266.0,4271.0,4266.0,4269.0,4236,1273298,1273690
2019-08-15 09:47:00.000000000,4269.0,4272.0,4268.0,4270.0,2342,1273690,1273526
2019-08-15 09:48:00.000000000,4270.0,4270.0,4266.0,4266.0,2026,1273526,1274058
