datetime,CZCE.SR005.open,CZCE.SR005.high,CZCE.SR005.low,CZCE.SR005.close,CZCE.SR005.volume,CZCE.SR005.open_oi,CZCE.SR005.close_oi
2019-11-01 09:00:00.000000000,5501.0,5510.0,5501.0,5510.0,1570,246144,246260
2019-11-01 09:01:00.000000000,5510.0,5510.0,5504.0,5508.0,628,246260,246074
2019-11-01 09:02:00.000000000,5508.0,5512.0,5507.0,5511.0,384,246074,246016
2019-11-01 09:03:00.000000000,5511.0,5512.0,5509.0,5510.0,448,246016,246120
2019-11-01 09:04:00.000000000,5510.0,5512.0,5509.0,5511.0,276,246120,246074
2019-11-01 09:05:00.000000000,5511.0,5514.0,5511.0,5513.0,220,246074,246062
2019-11-01 09:06:00.000000000,5513.0,5513.0,5511.0,5511.0,362,246062,246066
2019-11-01 09:07:00.000000000,5511.0,5513.0,5511.0,5513.0,288,246066,246110
2019-11-01 09:08:00.000000000,5513.0,5514.0,5511.0,5511.0,284,246110,246030
2019-11-01 09:09:00.000000000,5511.0,5512.0,5510.0,5511.0,144,246030,246006
2019-11-01 09:10:00.000000000,5511.0,5512.0,5510.0,5512.0,152,246006,246014
2019-11-01 09:11:00.000000000,5512.0,5515.0,5512.0,5514.0,118,246014,246014
2019-11-01 09:12:00.000000000,5514.0,5516.0,5514.0,5516.0,124,246014,245990
2019-11-01 09:13:00.000000000,5516.0,5516.0,5513.0,5513.0,482,245990,246134
2019-11-01 09:14:00.000000000,5513.0,5513.0,5511.0,5511.0,212,246134,246090
2019-11-01 09:15:00.000000000,5511.0,5517.0,5511.0,5517.0,390,246090,246138
2019-11-01 09:16:00.000000000,5517.0,5517.0,5515.0,5516.0,600,246138,246396
2019-11-01 09:17:00.000000000,5516.0,5517.0,5515.0,5517.0,204,246396,246368
2019-11-01 09:18:00.000000000,5517.0,5517.0,5514.0,5514.0,256,246368,246372
2019-11-01 09:19:00.000000000,5514.0,5515.0,5513.0,5514.0,112,246372,246344
2019-11-01 09:20:00.000000000,5514.0,5514.0,5511.0,5511.0,84,246344,246322
2019-11-01 09:21:00.000000000,5511.0,5512.0,5510.0,5511.0,514,246322,246482
2019-11-01 09:22:00.000000000,5511.0,5512.0,5506.0,5507.0,886,246482,246802
2019-11-01 09:23:00.000000000,5507.0,5511.0,5506.0,5511.0,456,246802,246684
2019-11-01 09:24:00.000000000,5511.0,5512.0,5509.0,5512.0,192,246684,246740
2019-11-01 09:25:00.000000000,5512.0,5512.0,5507.0,5508.0,516,246740,246946
2019-11-01 09:26:00.000000000,5508.0,5508.0,5506.0,5506.0,232,246946,246922
2019-11-01 09:27:00.000000000,5506.0,5510.0,5506.0,5510.0,350,246922,246864
2019-11-01 09:28:00.000000000,5510.0,5510.0,5508.0,5508.0,386,246864,246818
2019-11-01 09:29:00.000000000,5508.0,5510.0,5508.0,5509.0,484,246818,246670
2019-11-01 09:30:00.000000000,5509.0,5511.0,5508.0,5509.0,426,246670,246428
2019-11-01 09:31:00.000000000,5509.0,5509.0,5507.0,5507.0,416,246428,246274
2019-11-01 09:32:00.000000000,5507.0,5507.0,5505.0,5506.0,150,246274,246252
2019-11-01 09:33:00.000000000,5506.0,5508.0,5506.0,5507.0,164,246252,246250
2019-11-01 09:34:00.000000000,5507.0,5508.0,5502.0,5502.0,386,246250,246316
2019-11-01 09:35:00.000000000,5502.0,5504.0,5502.0,5504.0,144,246316,246326
2019-11-01 09:36:00.000000000,5504.0,5507.0,5504.0,5507.0,188,246326,246296
2019-11-01 09:37:00.000000000,5507.0,5511.0,5507.0,5511.0,178,246296,246288
2019-11-01 09:38:00.000000000,5511.0,5513.0,5510.0,5511.0,366,246288,246358
2019-11-01 09:39:00.000000000,5511.0,5512.0,5511.0,5512.0,30,246358,246372
2019-11-01 09:40:00.000000000,5512.0,5512.0,5511.0,5512.0,136,246372,246364
2019-11-01 09:41:00.000000000,5512.0,5514.0,5511.0,5513.0,146,246364,246354
2019-11-01 09:42:00.000000000,5513.0,5516.0,5513.0,5515.0,208,246354,246368
2019-11-01 09:43:00.000000000,5515.0,5517.0,5514.0,5517.0,212,246368,246412
2019-11-01 09:44:00.000000000,5517.0,5518.0,5515.0,5515.0,102,246412,246436
2019-11-01 09:45:00.000000000,5515.0,5517.0,5515.0,5517.0,206,246436,246434
2019-11-01 09:46:00.000000000,5517.0,5518.0,5516.0,5518.0,136,246434,246484
2019-11-01 09:47:00.000000000,5518.0,5518.0,5514.0,5514.0,342,246484,246688
2019-11-01 09:48:00.000000000,5514.0,5515.0,5512.0,5513.0,112,246688,246648
2019-11-01 09:49:00.000000000,5513.0,5515.0,5512.0,5515.0,80,246648,246670
2019-11-01 09:50:00.000000000,5515.0,5515.0,5513.0,5514.0,70,246670,246666
2019-11-01 09:51:00.000000000,5514.0,5516.0,5514.0,5515.0,16,246666,246674
2019-11-01 09:52:00.000000000,5515.0,5516.0,5515.0,5516.0,60,246674,246672
2019-11-01 09:53:00.000000000,5516.0,5518.0,5516.0,5516.0,318,246672,246896
2019-11-01 09:54:00.000000000,5516.0,5516.0,5514.0,5515.0,188,246896,246898
2019-11-01 09:55:00.000000000,5515.0,5516.0,5515.0,5515.0,56,246898,246914
2019-11-01 09:56:00.000000000,5515.0,5519.0,5515.0,5518.0,396,246914,247036
2019-11-01 09:57:00.000000000,5518.0,5519.0,5517.0,5518.0,122,247036,247030
2019-11-01 09:58:00.000000000,5518.0,5519.0,5517.0,5517.0,80,247030,247032
2019-11-01 09:59:00.000000000,5517.0,5517.0,5515.0,5515.0,118,247032,247020
2019-11-01 10:00:00.000000000,5515.0,5520.0,5515.0,5519.0,62,247020,247018
2019-11-01 10:01:00.000000000,5519.0,5520.0,5518.0,5518.0,272,247018,247142
2019-11-01 10:02:00.000000000,5518.0,5519.0,5518.0,5518.0,224,247142,247284
2019-11-01 10:03:00.000000000,5518.0,5519.0,5518.0,5518.0,100,247284,247304
2019-11-01 10:04:00.000000000,5518.0,5518.0,5515.0,5516.0,56,247304,247300
2019-11-01 10:05:00.000000000,5516.0,5517.0,5515.0,5515.0,114,247300,247256
2019-11-01 10:06:00.000000000,5515.0,5517.0,5515.0,5516.0,42,247256,247280
2019-11-01 10:07:00.000000000,5516.0,5518.0,5516.0,5518.0,100,247280,247278
2019-11-01 10:08:00.000000000,5518.0,5519.0,5517.0,5519.0,288,247278,247292
2019-11-01 10:09:00.000000000,5519.0,5520.0,5517.0,5517.0,646,247292,247738
2019-11-01 10:10:00.000000000,5517.0,5518.0,5517.0,5517.0,60,247738,247754
2019-11-01 10:11:00.000000000,5517.0,5519.0,5517.0,5518.0,128,247754,247812
2019-11-01 10:12:00.000000000,5518.0,5518.0,5514.0,5516.0,250,247812,247670
2019-11-01 10:13:00.000000000,5516.0,5516.0,5513.0,5513.0,176,247670,247582
2019-11-01 10:14:00.000000000,5513.0,5514.0,5511.0,5512.0,346,247582,247654
2019-11-01 10:30:00.000000000,5513.0,5515.0,5510.0,5514.0,160,247654,247654
2019-11-01 10:31:00.000000000,5514.0,5515.0,5514.0,5514.0,188,247654,247676
2019-11-01 10:32:00.000000000,5514.0,5515.0,5513.0,5515.0,148,247676,247658
2019-11-01 10:33:00.000000000,5515.0,5519.0,5514.0,5517.0,578,247658,247874
2019-11-01 10:34:00.000000000,5517.0,5518.0,5516.0,5517.0,98,247874,247884
2019-11-01 10:35:00.000000000,5517.0,5517.0,5516.0,5516.0,112,247884,247834
2019-11-01 10:36:00.000000000,5516.0,5516.0,5514.0,5515.0,196,247834,247940
2019-11-01 10:37:00.000000000,5515.0,5515.0,5514.0,5515.0,38,247940,247956
