datetime,CZCE.TA005.open,CZCE.TA005.high,CZCE.TA005.low,CZCE.TA005.close,CZCE.TA005.volume,CZCE.TA005.open_oi,CZCE.TA005.close_oi
2019-11-01 09:00:00.000000000,4824.0,4830.0,4824.0,4826.0,684,393910,393948
2019-11-01 09:01:00.000000000,4826.0,4830.0,4826.0,4828.0,156,393948,394000
2019-11-01 09:02:00.000000000,4828.0,4830.0,4824.0,4826.0,752,394000,394204
2019-11-01 09:03:00.000000000,4826.0,4828.0,4826.0,4828.0,120,394204,394116
2019-11-01 09:04:00.000000000,4828.0,4828.0,4826.0,4828.0,224,394116,394024
2019-11-01 09:05:00.000000000,4828.0,4828.0,4824.0,4826.0,262,394024,394136
2019-11-01 09:06:00.000000000,4826.0,4826.0,4802.0,4816.0,5598,394136,396448
2019-11-01 09:07:00.000000000,4816.0,4818.0,4812.0,4814.0,1566,396448,396814
2019-11-01 09:08:00.000000000,4814.0,4816.0,4808.0,4814.0,1878,396814,396498
2019-11-01 09:09:00.000000000,4814.0,4818.0,4814.0,4816.0,464,396498,396724
2019-11-01 09:10:00.000000000,4816.0,4820.0,4816.0,4818.0,720,396724,396636
2019-11-01 09:11:00.000000000,4818.0,4818.0,4812.0,4814.0,464,396636,396756
2019-11-01 09:12:00.000000000,4814.0,4814.0,4810.0,4810.0,944,396756,396566
2019-11-01 09:13:00.000000000,4810.0,4812.0,4806.0,4810.0,1906,396566,397004
2019-11-01 09:14:00.000000000,4810.0,4814.0,4808.0,4812.0,446,397004,397020
2019-11-01 09:15:00.000000000,4812.0,4816.0,4810.0,4816.0,526,397020,396910
2019-11-01 09:16:00.000000000,4816.0,4816.0,4814.0,4814.0,188,396910,396876
2019-11-01 09:17:00.000000000,4814.0,4814.0,4810.0,4814.0,696,396876,397012
2019-11-01 09:18:00.000000000,4814.0,4814.0,4810.0,4810.0,768,397012,397122
2019-11-01 09:19:00.000000000,4810.0,4812.0,4808.0,4810.0,374,397122,397272
2019-11-01 09:20:00.000000000,4810.0,4814.0,4810.0,4812.0,260,397272,397154
2019-11-01 09:21:00.000000000,4812.0,4814.0,4810.0,4810.0,174,397154,397250
2019-11-01 09:22:00.000000000,4810.0,4812.0,4810.0,4812.0,198,397250,397270
2019-11-01 09:23:00.000000000,4812.0,4814.0,4810.0,4810.0,186,397270,397268
2019-11-01 09:24:00.000000000,4810.0,4810.0,4806.0,4806.0,666,397268,397718
2019-11-01 09:25:00.000000000,4806.0,4806.0,4800.0,4802.0,2616,397718,399168
2019-11-01 09:26:00.000000000,4802.0,4802.0,4796.0,4800.0,3068,399168,399924
