datetime,CZCE.OI005.open,CZCE.OI005.high,CZCE.OI005.low,CZCE.OI005.close,CZCE.OI005.volume,CZCE.OI005.open_oi,CZCE.OI005.close_oi
2019-12-09 09:00:00.000000000,7394.0,7400.0,7389.0,7400.0,2059,68165,68506
2019-12-09 09:01:00.000000000,7400.0,7404.0,7399.0,7402.0,913,68506,68755
2019-12-09 09:02:00.000000000,7402.0,7410.0,7402.0,7409.0,671,68755,68738
2019-12-09 09:03:00.000000000,7409.0,7409.0,7405.0,7407.0,472,68738,68847
2019-12-09 09:04:00.000000000,7407.0,7409.0,7402.0,7404.0,354,68847,68826
2019-12-09 09:05:00.000000000,7404.0,7407.0,7402.0,7404.0,650,68826,69136
2019-12-09 09:06:00.000000000,7404.0,7405.0,7402.0,7402.0,261,69136,69175
2019-12-09 09:07:00.000000000,7402.0,7402.0,7398.0,7401.0,212,69175,69236
2019-12-09 09:08:00.000000000,7401.0,7402.0,7399.0,7401.0,95,69236,69257
2019-12-09 09:09:00.000000000,7401.0,7402.0,7395.0,7396.0,162,69257,69265
2019-12-09 09:10:00.000000000,7396.0,7402.0,7396.0,7398.0,355,69265,69302
2019-12-09 09:11:00.000000000,7398.0,7400.0,7398.0,7399.0,96,69302,69317
2019-12-09 09:12:00.000000000,7399.0,7401.0,7399.0,7400.0,40,69317,69332
2019-12-09 09:13:00.000000000,7400.0,7400.0,7398.0,7399.0,107,69332,69353
2019-12-09 09:14:00.000000000,7399.0,7399.0,7397.0,7399.0,117,69353,69363
2019-12-09 09:15:00.000000000,7399.0,7402.0,7397.0,7397.0,289,69363,69274
2019-12-09 09:16:00.000000000,7397.0,7402.0,7396.0,7400.0,313,69274,69321
2019-12-09 09:17:00.000000000,7400.0,7406.0,7400.0,7405.0,289,69321,69392
2019-12-09 09:18:00.000000000,7405.0,7412.0,7404.0,7410.0,404,69392,69524
2019-12-09 09:19:00.000000000,7410.0,7418.0,7409.0,7417.0,872,69524,69763
2019-12-09 09:20:00.000000000,7417.0,7422.0,7417.0,7422.0,779,69763,69775
2019-12-09 09:21:00.000000000,7422.0,7432.0,7420.0,7430.0,807,69775,69786
2019-12-09 09:22:00.000000000,7430.0,7446.0,7426.0,7442.0,1295,69786,69989
2019-12-09 09:23:00.000000000,7442.0,7447.0,7435.0,7437.0,704,69989,70038
2019-12-09 09:24:00.000000000,7437.0,7437.0,7431.0,7435.0,417,70038,69988
2019-12-09 09:25:00.000000000,7435.0,7440.0,7435.0,7439.0,313,69988,70030
