datetime,CZCE.SM005.open,CZCE.SM005.high,CZCE.SM005.low,CZCE.SM005.close,CZCE.SM005.volume,CZCE.SM005.open_oi,CZCE.SM005.close_oi
2019-12-09 09:00:00.000000000,6100.0,6130.0,6098.0,6124.0,1015,40035,40416
2019-12-09 09:01:00.000000000,6124.0,6138.0,6124.0,6136.0,1048,40416,40997
2019-12-09 09:02:00.000000000,6136.0,6136.0,6130.0,6130.0,481,40997,41024
2019-12-09 09:03:00.000000000,6130.0,6138.0,6128.0,6136.0,403,41024,40846
2019-12-09 09:04:00.000000000,6136.0,6138.0,6132.0,6134.0,130,40846,40865
2019-12-09 09:05:00.000000000,6134.0,6138.0,6134.0,6136.0,161,40865,40889
2019-12-09 09:06:00.000000000,6136.0,6136.0,6118.0,6126.0,332,40889,40928
2019-12-09 09:07:00.000000000,6126.0,6128.0,6122.0,6128.0,158,40928,40987
2019-12-09 09:08:00.000000000,6128.0,6130.0,6124.0,6130.0,81,40987,41020
2019-12-09 09:09:00.000000000,6130.0,6132.0,6128.0,6132.0,256,41020,41206
2019-12-09 09:10:00.000000000,6132.0,6134.0,6130.0,6132.0,73,41206,41259
2019-12-09 09:11:00.000000000,6132.0,6134.0,6130.0,6132.0,130,41259,41307
2019-12-09 09:12:00.000000000,6132.0,6136.0,6132.0,6132.0,235,41307,41411
2019-12-09 09:13:00.000000000,6132.0,6136.0,6132.0,6132.0,100,41411,41473
2019-12-09 09:14:00.000000000,6132.0,6136.0,6132.0,6132.0,39,41473,41483
2019-12-09 09:15:00.000000000,6132.0,6136.0,6130.0,6136.0,277,41483,41519
2019-12-09 09:16:00.000000000,6136.0,6136.0,6132.0,6134.0,36,41519,41522
2019-12-09 09:17:00.000000000,6134.0,6136.0,6132.0,6134.0,55,41522,41535
2019-12-09 09:18:00.000000000,6134.0,6136.0,6134.0,6136.0,142,41535,41549
2019-12-09 09:19:00.000000000,6136.0,6138.0,6134.0,6138.0,61,41549,41556
2019-12-09 09:20:00.000000000,6138.0,6138.0,6134.0,6134.0,107,41556,41580
2019-12-09 09:21:00.000000000,6134.0,6136.0,6130.0,6134.0,92,41580,41557
2019-12-09 09:22:00.000000000,6134.0,6136.0,6132.0,6136.0,62,41557,41556
2019-12-09 09:23:00.000000000,6136.0,6138.0,6132.0,6136.0,40,41556,41575
2019-12-09 09:24:00.000000000,6136.0,6136.0,6132.0,6134.0,51,41575,41598
2019-12-09 09:25:00.000000000,6134.0,6134.0,6130.0,6130.0,67,41598,41621
