datetime,DCE.a2005.open,DCE.a2005.high,DCE.a2005.low,DCE.a2005.close,DCE.a2005.volume,DCE.a2005.open_oi,DCE.a2005.close_oi
2019-12-09 09:00:00.000000000,3879.0,3879.0,3874.0,3876.0,862,91864,91796
2019-12-09 09:01:00.000000000,3876.0,3878.0,3876.0,3876.0,615,91796,91804
2019-12-09 09:02:00.000000000,3876.0,3877.0,3875.0,3876.0,317,91804,91749
2019-12-09 09:03:00.000000000,3876.0,3876.0,3867.0,3870.0,1883,91749,91397
2019-12-09 09:04:00.000000000,3870.0,3870.0,3865.0,3866.0,1059,91397,91323
2019-12-09 09:05:00.000000000,3866.0,3868.0,3863.0,3863.0,1273,91323,91296
2019-12-09 09:06:00.000000000,3863.0,3866.0,3863.0,3866.0,686,91296,91135
2019-12-09 09:07:00.000000000,3866.0,3866.0,3863.0,3864.0,640,91135,91140
2019-12-09 09:08:00.000000000,3864.0,3866.0,3863.0,3864.0,730,91140,90948
2019-12-09 09:09:00.000000000,3864.0,3865.0,3862.0,3865.0,635,90948,90742
2019-12-09 09:10:00.000000000,3865.0,3865.0,3863.0,3864.0,223,90742,90726
2019-12-09 09:11:00.000000000,3864.0,3868.0,3864.0,3868.0,678,90726,91000
2019-12-09 09:12:00.000000000,3868.0,3868.0,3865.0,3866.0,237,91000,91053
2019-12-09 09:13:00.000000000,3866.0,3867.0,3865.0,3866.0,281,91053,91100
2019-12-09 09:14:00.000000000,3866.0,3866.0,3861.0,3862.0,910,91100,91142
2019-12-09 09:15:00.000000000,3862.0,3862.0,3855.0,3858.0,3177,91142,90096
2019-12-09 09:16:00.000000000,3858.0,3859.0,3854.0,3856.0,2081,90096,89715
2019-12-09 09:17:00.000000000,3856.0,3861.0,3856.0,3856.0,971,89715,89544
2019-12-09 09:18:00.000000000,3856.0,3860.0,3856.0,3858.0,350,89544,89577
2019-12-09 09:19:00.000000000,3858.0,3858.0,3855.0,3857.0,427,89577,89458
2019-12-09 09:20:00.000000000,3857.0,3860.0,3856.0,3860.0,719,89458,89804
2019-12-09 09:21:00.000000000,3860.0,3862.0,3858.0,3862.0,320,89804,89843
2019-12-09 09:22:00.000000000,3862.0,3862.0,3859.0,3862.0,375,89843,89817
2019-12-09 09:23:00.000000000,3862.0,3862.0,3860.0,3860.0,238,89817,89779
