datetime,DCE.m2005.open,DCE.m2005.high,DCE.m2005.low,DCE.m2005.close,DCE.m2005.volume,DCE.m2005.open_oi,DCE.m2005.close_oi
2019-12-09 09:00:00.000000000,2761.0,2766.0,2760.0,2764.0,15835,1414175,1415717
2019-12-09 09:01:00.000000000,2764.0,2768.0,2764.0,2766.0,7424,1415717,1416386
2019-12-09 09:02:00.000000000,2766.0,2769.0,2766.0,2768.0,8458,1416386,1416895
2019-12-09 09:03:00.000000000,2768.0,2769.0,2766.0,2767.0,7272,1416895,1416863
2019-12-09 09:04:00.000000000,2767.0,2769.0,2766.0,2768.0,5562,1416863,1416668
2019-12-09 09:05:00.000000000,2768.0,2769.0,2766.0,2767.0,4675,1416668,1417089
2019-12-09 09:06:00.000000000,2767.0,2768.0,2764.0,2764.0,5647,1417089,1416747
2019-12-09 09:07:00.000000000,2764.0,2766.0,2764.0,2764.0,4172,1416747,1415774
2019-12-09 09:08:00.000000000,2764.0,2765.0,2762.0,2762.0,5001,1415774,1416075
2019-12-09 09:09:00.000000000,2762.0,2762.0,2759.0,2761.0,9117,1416075,1415951
2019-12-09 09:10:00.000000000,2761.0,2764.0,2761.0,2763.0,2688,1415951,1416291
2019-12-09 09:11:00.000000000,2763.0,2764.0,2762.0,2762.0,1876,1416291,1416351
2019-12-09 09:12:00.000000000,2762.0,2763.0,2762.0,2763.0,1473,1416351,1416129
2019-12-09 09:13:00.000000000,2763.0,2765.0,2762.0,2764.0,3376,1416129,1416180
2019-12-09 09:14:00.000000000,2764.0,2765.0,2763.0,2765.0,1831,1416180,1416169
2019-12-09 09:15:00.000000000,2765.0,2765.0,2763.0,2765.0,1934,1416169,1416227
2019-12-09 09:16:00.000000000,2765.0,2765.0,2764.0,2765.0,703,1416227,1416174
2019-12-09 09:17:00.000000000,2765.0,2766.0,2764.0,2766.0,1493,1416174,1416504
2019-12-09 09:18:00.000000000,2766.0,2766.0,2764.0,2765.0,2266,1416504,1416164
2019-12-09 09:19:00.000000000,2765.0,2765.0,2763.0,2765.0,1739,1416164,1416224
2019-12-09 09:20:00.000000000,2765.0,2766.0,2764.0,2765.0,1173,1416224,1416354
2019-12-09 09:21:00.000000000,2765.0,2766.0,2763.0,2766.0,2463,1416354,1416261
2019-12-09 09:22:00.000000000,2766.0,2768.0,2765.0,2768.0,5849,1416261,1417232
2019-12-09 09:23:00.000000000,2768.0,2769.0,2766.0,2767.0,7705,1417232,1417719
2019-12-09 09:24:00.000000000,2767.0,2767.0,2764.0,2766.0,5309,1417719,1417639
2019-12-09 09:25:00.000000000,2766.0,2766.0,2765.0,2766.0,1560,1417639,1417207
2019-12-09 09:26:00.000000000,2766.0,2768.0,2765.0,2767.0,3813,1417207,1417009
2019-12-09 09:27:00.000000000,2767.0,2768.0,2766.0,2766.0,1773,1417009,1416902
2019-12-09 09:28:00.000000000,2766.0,2768.0,2766.0,2767.0,1968,1416902,1417009
2019-12-09 09:29:00.000000000,2767.0,2772.0,2767.0,2772.0,12913,1417009,1418804
2019-12-09 09:30:00.000000000,2772.0,2772.0,2770.0,2770.0,5437,1418804,1417824
2019-12-09 09:31:00.000000000,2770.0,2770.0,2767.0,2769.0,12388,1417824,1415510
2019-12-09 09:32:00.000000000,2769.0,2772.0,2768.0,2771.0,7079,1415510,1416821
2019-12-09 09:33:00.000000000,2771.0,2774.0,2770.0,2774.0,7621,1416821,1417401
2019-12-09 09:34:00.000000000,2774.0,2778.0,2773.0,2777.0,23829,1417401,1417937
2019-12-09 09:35:00.000000000,2777.0,2779.0,2776.0,2777.0,10796,1417937,1416621
2019-12-09 09:36:00.000000000,2777.0,2778.0,2774.0,2775.0,7846,1416621,1416562
2019-12-09 09:37:00.000000000,2775.0,2775.0,2773.0,2773.0,3250,1416562,1416361
2019-12-09 09:38:00.000000000,2773.0,2775.0,2773.0,2774.0,3782,1416361,1415705
2019-12-09 09:39:00.000000000,2774.0,2785.0,2772.0,2781.0,39043,1415705,1419610
2019-12-09 09:40:00.000000000,2781.0,2782.0,2778.0,2780.0,12736,1419610,1420586
2019-12-09 09:41:00.000000000,2780.0,2782.0,2780.0,2781.0,8333,1420586,1420312
2019-12-09 09:42:00.000000000,2781.0,2782.0,2779.0,2781.0,5708,1420312,1421003
2019-12-09 09:43:00.000000000,2781.0,2783.0,2780.0,2782.0,5791,1421003,1422492
2019-12-09 09:44:00.000000000,2782.0,2784.0,2779.0,2779.0,10095,1422492,1421399
2019-12-09 09:45:00.000000000,2779.0,2781.0,2777.0,2778.0,7543,1421399,1421416
2019-12-09 09:46:00.000000000,2778.0,2782.0,2777.0,2779.0,11978,1421416,1420465
2019-12-09 09:47:00.000000000,2779.0,2782.0,2779.0,2781.0,6359,1420465,1420224
2019-12-09 09:48:00.000000000,2781.0,2783.0,2780.0,2780.0,4151,1420224,1420272
2019-12-09 09:49:00.000000000,2780.0,2782.0,2780.0,2781.0,3702,1420272,1420708
2019-12-09 09:50:00.000000000,2781.0,2782.0,2779.0,2779.0,3346,1420708,1420757
2019-12-09 09:51:00.000000000,2779.0,2780.0,2776.0,2778.0,9207,1420757,1422344
2019-12-09 09:52:00.000000000,2778.0,2779.0,2778.0,2779.0,752,1422344,1422259
2019-12-09 09:53:00.000000000,2779.0,2779.0,2777.0,2777.0,3144,1422259,1421552
2019-12-09 09:54:00.000000000,2777.0,2778.0,2776.0,2776.0,2682,1421552,1420919
2019-12-09 09:55:00.000000000,2776.0,2779.0,2776.0,2778.0,5266,1420919,1421920
2019-12-09 09:56:00.000000000,2778.0,2779.0,2778.0,2779.0,3471,1421920,1422175
2019-12-09 09:57:00.000000000,2779.0,2779.0,2778.0,2778.0,377,1422175,1422152
2019-12-09 09:58:00.000000000,2778.0,2779.0,2777.0,2778.0,1231,1422152,1421757
2019-12-09 09:59:00.000000000,2778.0,2780.0,2778.0,2780.0,3025,1421757,1422687
2019-12-09 10:00:00.000000000,2780.0,2782.0,2779.0,2780.0,9639,1422687,1424586
2019-12-09 10:01:00.000000000,2780.0,2783.0,2780.0,2783.0,6000,1424586,1426028
2019-12-09 10:02:00.000000000,2783.0,2783.0,2781.0,2782.0,4254,1426028,1426264
2019-12-09 10:03:00.000000000,2782.0,2783.0,2781.0,2781.0,3605,1426264,1427223
2019-12-09 10:04:00.000000000,2781.0,2782.0,2780.0,2780.0,2478,1427223,1428270
2019-12-09 10:05:00.000000000,2780.0,2782.0,2780.0,2780.0,3335,1428270,1429321
2019-12-09 10:06:00.000000000,2780.0,2782.0,2780.0,2781.0,2338,1429321,1429446
2019-12-09 10:07:00.000000000,2781.0,2782.0,2781.0,2782.0,2008,1429446,1429932
2019-12-09 10:08:00.000000000,2782.0,2782.0,2780.0,2780.0,1115,1429932,1429875
2019-12-09 10:09:00.000000000,2780.0,2781.0,2779.0,2779.0,2563,1429875,1430445
2019-12-09 10:10:00.000000000,2779.0,2781.0,2778.0,2779.0,4904,1430445,1431135
2019-12-09 10:11:00.000000000,2779.0,2781.0,2778.0,2779.0,4266,1431135,1431299
2019-12-09 10:12:00.000000000,2779.0,2781.0,2778.0,2779.0,6250,1431299,1431521
2019-12-09 10:13:00.000000000,2779.0,2780.0,2779.0,2780.0,554,1431521,1431504
2019-12-09 10:14:00.000000000,2780.0,2781.0,2779.0,2781.0,3545,1431504,1430944
2019-12-09 10:30:00.000000000,2780.0,2782.0,2780.0,2780.0,2259,1430944,1430626
2019-12-09 10:31:00.000000000,2780.0,2781.0,2779.0,2779.0,2337,1430626,1430171
2019-12-09 10:32:00.000000000,2779.0,2780.0,2778.0,2779.0,2006,1430171,1429610
2019-12-09 10:33:00.000000000,2779.0,2779.0,2778.0,2779.0,701,1429610,1429661
2019-12-09 10:34:00.000000000,2779.0,2779.0,2777.0,2777.0,2024,1429661,1429972
2019-12-09 10:35:00.000000000,2777.0,2779.0,2777.0,2779.0,2165,1429972,1429715
2019-12-09 10:36:00.000000000,2779.0,2779.0,2777.0,2778.0,1241,1429715,1429479
2019-12-09 10:37:00.000000000,2778.0,2778.0,2774.0,2774.0,5985,1429479,1428479
2019-12-09 10:38:00.000000000,2774.0,2776.0,2772.0,2773.0,10446,1428479,1427361
2019-12-09 10:39:00.000000000,2773.0,2773.0,2771.0,2772.0,9784,1427361,1429174
2019-12-09 10:40:00.000000000,2772.0,2773.0,2771.0,2772.0,2232,1429174,1429553
2019-12-09 10:41:00.000000000,2772.0,2774.0,2772.0,2774.0,2845,1429553,1429362
2019-12-09 10:42:00.000000000,2774.0,2774.0,2772.0,2773.0,1396,1429362,1428976
2019-12-09 10:43:00.000000000,2773.0,2774.0,2772.0,2774.0,2348,1428976,1428106
2019-12-09 10:44:00.000000000,2774.0,2774.0,2773.0,2774.0,1428,1428106,1427837
2019-12-09 10:45:00.000000000,2774.0,2774.0,2773.0,2774.0,1421,1427837,1427884
2019-12-09 10:46:00.000000000,2774.0,2774.0,2773.0,2774.0,1529,1427884,1427825
2019-12-09 10:47:00.000000000,2774.0,2775.0,2773.0,2775.0,2728,1427825,1427926
2019-12-09 10:48:00.000000000,2775.0,2776.0,2774.0,2776.0,4680,1427926,1428177
2019-12-09 10:49:00.000000000,2776.0,2776.0,2774.0,2774.0,1409,1428177,1428117
2019-12-09 10:50:00.000000000,2774.0,2775.0,2774.0,2775.0,1194,1428117,1428012
2019-12-09 10:51:00.000000000,2775.0,2775.0,2774.0,2775.0,416,1428012,1428123
2019-12-09 10:52:00.000000000,2775.0,2775.0,2774.0,2775.0,686,1428123,1428026
2019-12-09 10:53:00.000000000,2775.0,2775.0,2774.0,2775.0,1842,1428026,1428349
2019-12-09 10:54:00.000000000,2775.0,2776.0,2774.0,2775.0,2555,1428349,1428135
2019-12-09 10:55:00.000000000,2775.0,2776.0,2774.0,2775.0,1807,1428135,1428094
2019-12-09 10:56:00.000000000,2775.0,2776.0,2774.0,2774.0,1374,1428094,1427929
2019-12-09 10:57:00.000000000,2774.0,2775.0,2773.0,2773.0,1118,1427929,1427731
2019-12-09 10:58:00.000000000,2773.0,2773.0,2772.0,2772.0,2046,1427731,1427468
2019-12-09 10:59:00.000000000,2772.0,2773.0,2772.0,2773.0,3687,1427468,1427989
2019-12-09 11:00:00.000000000,2773.0,2774.0,2772.0,2774.0,2282,1427989,1428099
2019-12-09 11:01:00.000000000,2774.0,2774.0,2773.0,2774.0,643,1428099,1427913
2019-12-09 11:02:00.000000000,2774.0,2774.0,2772.0,2772.0,1232,1427913,1427815
2019-12-09 11:03:00.000000000,2772.0,2773.0,2772.0,2772.0,428,1427815,1427717
2019-12-09 11:04:00.000000000,2772.0,2773.0,2770.0,2770.0,4409,1427717,1427160
2019-12-09 11:05:00.000000000,2770.0,2772.0,2770.0,2771.0,3977,1427160,1427535
2019-12-09 11:06:00.000000000,2771.0,2773.0,2771.0,2772.0,3183,1427535,1427883
2019-12-09 11:07:00.000000000,2772.0,2773.0,2772.0,2772.0,396,1427883,1427941
2019-12-09 11:08:00.000000000,2772.0,2773.0,2772.0,2772.0,580,1427941,1428127
2019-12-09 11:09:00.000000000,2772.0,2773.0,2772.0,2773.0,805,1428127,1428044
2019-12-09 11:10:00.000000000,2773.0,2774.0,2772.0,2774.0,1397,1428044,1428680
