datetime,SHFE.hc2005.open,SHFE.hc2005.high,SHFE.hc2005.low,SHFE.hc2005.close,SHFE.hc2005.volume,SHFE.hc2005.open_oi,SHFE.hc2005.close_oi
2019-12-09 09:00:00.000000000,3483.0,3489.0,3483.0,3486.0,3236,177084,177504
2019-12-09 09:01:00.000000000,3486.0,3489.0,3483.0,3484.0,1753,177504,177723
2019-12-09 09:02:00.000000000,3484.0,3486.0,3481.0,3484.0,2065,177723,177826
2019-12-09 09:03:00.000000000,3484.0,3489.0,3484.0,3487.0,890,177826,177951
2019-12-09 09:04:00.000000000,3487.0,3489.0,3487.0,3489.0,833,177951,178163
2019-12-09 09:05:00.000000000,3489.0,3494.0,3488.0,3492.0,1503,178163,178634
2019-12-09 09:06:00.000000000,3492.0,3496.0,3490.0,3495.0,981,178634,178703
2019-12-09 09:07:00.000000000,3495.0,3498.0,3492.0,3492.0,1266,178703,178661
2019-12-09 09:08:00.000000000,3492.0,3500.0,3492.0,3500.0,1160,178661,179015
2019-12-09 09:09:00.000000000,3500.0,3500.0,3497.0,3500.0,1363,179015,179161
2019-12-09 09:10:00.000000000,3500.0,3509.0,3500.0,3509.0,3153,179161,179471
2019-12-09 09:11:00.000000000,3509.0,3512.0,3508.0,3512.0,1455,179471,179675
2019-12-09 09:12:00.000000000,3512.0,3515.0,3512.0,3515.0,1220,179675,180083
2019-12-09 09:13:00.000000000,3515.0,3515.0,3510.0,3510.0,775,180083,180183
2019-12-09 09:14:00.000000000,3510.0,3515.0,3510.0,3514.0,1143,180183,180242
2019-12-09 09:15:00.000000000,3514.0,3518.0,3512.0,3516.0,1828,180242,180643
2019-12-09 09:16:00.000000000,3516.0,3523.0,3516.0,3521.0,2255,180643,180587
2019-12-09 09:17:00.000000000,3521.0,3522.0,3516.0,3516.0,900,180587,180777
2019-12-09 09:18:00.000000000,3516.0,3518.0,3514.0,3515.0,963,180777,180682
2019-12-09 09:19:00.000000000,3515.0,3516.0,3510.0,3511.0,898,180682,180464
2019-12-09 09:20:00.000000000,3511.0,3513.0,3509.0,3510.0,887,180464,180384
2019-12-09 09:21:00.000000000,3510.0,3510.0,3503.0,3504.0,1084,180384,180405
2019-12-09 09:22:00.000000000,3504.0,3508.0,3503.0,3506.0,701,180405,180185
2019-12-09 09:23:00.000000000,3506.0,3512.0,3505.0,3512.0,697,180185,180250
2019-12-09 09:24:00.000000000,3512.0,3513.0,3508.0,3508.0,662,180250,180231
2019-12-09 09:25:00.000000000,3508.0,3511.0,3508.0,3509.0,770,180231,180178
