datetime,SHFE.rb2005.open,SHFE.rb2005.high,SHFE.rb2005.low,SHFE.rb2005.close,SHFE.rb2005.volume,SHFE.rb2005.open_oi,SHFE.rb2005.close_oi
2019-12-09 09:00:00.000000000,3472.0,3484.0,3472.0,3481.0,43185,1117923,1121439
2019-12-09 09:01:00.000000000,3481.0,3484.0,3476.0,3476.0,18870,1121439,1122324
2019-12-09 09:02:00.000000000,3476.0,3477.0,3469.0,3475.0,16976,1122324,1121115
2019-12-09 09:03:00.000000000,3475.0,3477.0,3472.0,3473.0,10087,1121115,1120741
2019-12-09 09:04:00.000000000,3473.0,3476.0,3473.0,3475.0,4360,1120741,1120610
2019-12-09 09:05:00.000000000,3475.0,3479.0,3474.0,3477.0,9696,1120610,1120497
2019-12-09 09:06:00.000000000,3477.0,3483.0,3475.0,3483.0,12665,1120497,1121648
2019-12-09 09:07:00.000000000,3483.0,3484.0,3476.0,3476.0,13244,1121648,1122924
2019-12-09 09:08:00.000000000,3476.0,3482.0,3476.0,3481.0,6164,1122924,1124264
2019-12-09 09:09:00.000000000,3481.0,3483.0,3478.0,3483.0,8340,1124264,1125550
2019-12-09 09:10:00.000000000,3483.0,3493.0,3483.0,3492.0,26098,1125550,1132220
2019-12-09 09:11:00.000000000,3492.0,3495.0,3489.0,3494.0,17434,1132220,1134380
2019-12-09 09:12:00.000000000,3494.0,3496.0,3492.0,3495.0,14211,1134380,1135681
2019-12-09 09:13:00.000000000,3495.0,3495.0,3492.0,3494.0,9723,1135681,1136621
2019-12-09 09:14:00.000000000,3494.0,3499.0,3493.0,3498.0,15173,1136621,1138717
2019-12-09 09:15:00.000000000,3498.0,3505.0,3497.0,3504.0,29497,1138717,1142211
2019-12-09 09:16:00.000000000,3504.0,3514.0,3503.0,3510.0,30112,1142211,1144053
2019-12-09 09:17:00.000000000,3510.0,3511.0,3506.0,3507.0,17003,1144053,1143971
2019-12-09 09:18:00.000000000,3507.0,3509.0,3506.0,3508.0,11889,1143971,1141426
2019-12-09 09:19:00.000000000,3508.0,3508.0,3503.0,3504.0,9844,1141426,1141495
2019-12-09 09:20:00.000000000,3504.0,3508.0,3504.0,3506.0,8324,1141495,1141143
2019-12-09 09:21:00.000000000,3506.0,3506.0,3498.0,3498.0,15200,1141143,1141351
2019-12-09 09:22:00.000000000,3498.0,3503.0,3498.0,3502.0,8446,1141351,1142819
2019-12-09 09:23:00.000000000,3502.0,3505.0,3501.0,3504.0,6660,1142819,1141999
2019-12-09 09:24:00.000000000,3504.0,3508.0,3504.0,3506.0,7642,1141999,1143402
2019-12-09 09:25:00.000000000,3506.0,3507.0,3505.0,3507.0,4921,1143402,1144663
2019-12-09 09:26:00.000000000,3507.0,3508.0,3506.0,3507.0,3681,1144663,1144994
2019-12-09 09:27:00.000000000,3507.0,3508.0,3504.0,3506.0,4010,1144994,1145213
2019-12-09 09:28:00.000000000,3506.0,3509.0,3505.0,3507.0,7823,1145213,1144540
2019-12-09 09:29:00.000000000,3507.0,3508.0,3505.0,3506.0,4237,1144540,1144859
2019-12-09 09:30:00.000000000,3506.0,3508.0,3503.0,3503.0,6622,1144859,1145280
2019-12-09 09:31:00.000000000,3503.0,3508.0,3503.0,3505.0,5156,1145280,1144061
2019-12-09 09:32:00.000000000,3505.0,3507.0,3503.0,3506.0,2454,1144061,1144226
2019-12-09 09:33:00.000000000,3506.0,3509.0,3505.0,3509.0,4947,1144226,1143826
2019-12-09 09:34:00.000000000,3509.0,3509.0,3506.0,3508.0,3693,1143826,1143638
2019-12-09 09:35:00.000000000,3508.0,3509.0,3507.0,3508.0,3958,1143638,1143667
2019-12-09 09:36:00.000000000,3508.0,3508.0,3502.0,3504.0,6914,1143667,1144399
2019-12-09 09:37:00.000000000,3504.0,3506.0,3501.0,3503.0,4451,1144399,1143914
2019-12-09 09:38:00.000000000,3503.0,3504.0,3501.0,3503.0,2861,1143914,1144156
2019-12-09 09:39:00.000000000,3503.0,3504.0,3501.0,3502.0,3696,1144156,1144023
2019-12-09 09:40:00.000000000,3502.0,3504.0,3501.0,3502.0,3752,1144023,1144751
2019-12-09 09:41:00.000000000,3502.0,3502.0,3498.0,3500.0,4329,1144751,1144718
2019-12-09 09:42:00.000000000,3500.0,3501.0,3498.0,3500.0,4328,1144718,1144770
2019-12-09 09:43:00.000000000,3500.0,3501.0,3498.0,3499.0,3785,1144770,1144837
2019-12-09 09:44:00.000000000,3499.0,3503.0,3499.0,3502.0,5609,1144837,1144373
2019-12-09 09:45:00.000000000,3502.0,3502.0,3499.0,3499.0,2566,1144373,1144193
2019-12-09 09:46:00.000000000,3499.0,3500.0,3495.0,3496.0,8320,1144193,1144207
2019-12-09 09:47:00.000000000,3496.0,3498.0,3496.0,3497.0,5489,1144207,1144213
2019-12-09 09:48:00.000000000,3497.0,3497.0,3494.0,3495.0,5517,1144213,1144022
2019-12-09 09:49:00.000000000,3495.0,3498.0,3494.0,3497.0,5432,1144022,1144428
2019-12-09 09:50:00.000000000,3497.0,3497.0,3494.0,3496.0,3110,1144428,1144034
2019-12-09 09:51:00.000000000,3496.0,3499.0,3495.0,3499.0,3495,1144034,1144216
2019-12-09 09:52:00.000000000,3499.0,3501.0,3497.0,3500.0,3710,1144216,1144014
2019-12-09 09:53:00.000000000,3500.0,3501.0,3499.0,3500.0,3086,1144014,1144233
2019-12-09 09:54:00.000000000,3500.0,3502.0,3500.0,3500.0,4058,1144233,1143747
2019-12-09 09:55:00.000000000,3500.0,3502.0,3499.0,3501.0,4619,1143747,1144899
2019-12-09 09:56:00.000000000,3501.0,3504.0,3501.0,3503.0,3891,1144899,1144753
2019-12-09 09:57:00.000000000,3503.0,3503.0,3500.0,3502.0,3050,1144753,1144456
2019-12-09 09:58:00.000000000,3502.0,3504.0,3501.0,3504.0,4202,1144456,1144981
2019-12-09 09:59:00.000000000,3504.0,3505.0,3503.0,3505.0,4339,1144981,1145580
2019-12-09 10:00:00.000000000,3505.0,3506.0,3502.0,3504.0,4820,1145580,1146053
2019-12-09 10:01:00.000000000,3504.0,3504.0,3502.0,3504.0,2127,1146053,1146393
2019-12-09 10:02:00.000000000,3504.0,3505.0,3502.0,3505.0,2645,1146393,1146788
2019-12-09 10:03:00.000000000,3505.0,3509.0,3505.0,3508.0,6254,1146788,1148267
2019-12-09 10:04:00.000000000,3508.0,3508.0,3506.0,3508.0,4247,1148267,1148162
2019-12-09 10:05:00.000000000,3508.0,3509.0,3506.0,3507.0,3510,1148162,1148091
2019-12-09 10:06:00.000000000,3507.0,3509.0,3506.0,3508.0,2911,1148091,1148736
2019-12-09 10:07:00.000000000,3508.0,3508.0,3506.0,3508.0,2322,1148736,1149323
2019-12-09 10:08:00.000000000,3508.0,3508.0,3506.0,3508.0,1788,1149323,1149678
2019-12-09 10:09:00.000000000,3508.0,3508.0,3506.0,3508.0,2922,1149678,1150895
2019-12-09 10:10:00.000000000,3508.0,3508.0,3505.0,3506.0,2094,1150895,1151222
2019-12-09 10:11:00.000000000,3506.0,3508.0,3505.0,3506.0,2717,1151222,1151702
2019-12-09 10:12:00.000000000,3506.0,3510.0,3505.0,3505.0,7396,1151702,1153786
2019-12-09 10:13:00.000000000,3505.0,3506.0,3503.0,3505.0,3893,1153786,1154055
2019-12-09 10:14:00.000000000,3505.0,3509.0,3505.0,3509.0,3069,1154055,1154709
2019-12-09 10:30:00.000000000,3508.0,3510.0,3505.0,3506.0,6272,1154709,1155614
2019-12-09 10:31:00.000000000,3506.0,3512.0,3504.0,3506.0,10695,1155614,1157906
2019-12-09 10:32:00.000000000,3506.0,3506.0,3502.0,3503.0,5891,1157906,1159764
2019-12-09 10:33:00.000000000,3503.0,3504.0,3499.0,3500.0,9396,1159764,1161741
2019-12-09 10:34:00.000000000,3500.0,3501.0,3498.0,3499.0,7346,1161741,1163432
2019-12-09 10:35:00.000000000,3499.0,3504.0,3499.0,3502.0,4033,1163432,1164047
2019-12-09 10:36:00.000000000,3502.0,3506.0,3502.0,3502.0,2737,1164047,1163704
2019-12-09 10:37:00.000000000,3502.0,3505.0,3502.0,3504.0,2070,1163704,1164102
2019-12-09 10:38:00.000000000,3504.0,3505.0,3503.0,3505.0,1860,1164102,1164715
2019-12-09 10:39:00.000000000,3505.0,3505.0,3501.0,3502.0,1628,1164715,1165051
2019-12-09 10:40:00.000000000,3502.0,3505.0,3501.0,3504.0,2566,1165051,1165641
2019-12-09 10:41:00.000000000,3504.0,3504.0,3502.0,3503.0,847,1165641,1165376
2019-12-09 10:42:00.000000000,3503.0,3504.0,3502.0,3503.0,1240,1165376,1165662
2019-12-09 10:43:00.000000000,3503.0,3504.0,3502.0,3504.0,928,1165662,1165805
2019-12-09 10:44:00.000000000,3504.0,3509.0,3503.0,3508.0,6329,1165805,1166924
2019-12-09 10:45:00.000000000,3508.0,3509.0,3505.0,3506.0,2888,1166924,1166664
2019-12-09 10:46:00.000000000,3506.0,3506.0,3503.0,3503.0,2125,1166664,1166498
2019-12-09 10:47:00.000000000,3503.0,3506.0,3503.0,3505.0,1689,1166498,1166667
2019-12-09 10:48:00.000000000,3505.0,3507.0,3505.0,3505.0,841,1166667,1166576
2019-12-09 10:49:00.000000000,3505.0,3508.0,3504.0,3507.0,1239,1166576,1166547
2019-12-09 10:50:00.000000000,3507.0,3507.0,3505.0,3507.0,467,1166547,1166517
2019-12-09 10:51:00.000000000,3507.0,3507.0,3505.0,3507.0,780,1166517,1166865
2019-12-09 10:52:00.000000000,3507.0,3508.0,3506.0,3507.0,1182,1166865,1167032
2019-12-09 10:53:00.000000000,3507.0,3508.0,3505.0,3506.0,1540,1167032,1167045
2019-12-09 10:54:00.000000000,3506.0,3506.0,3505.0,3506.0,1188,1167045,1167230
2019-12-09 10:55:00.000000000,3506.0,3508.0,3505.0,3507.0,1222,1167230,1166961
2019-12-09 10:56:00.000000000,3507.0,3509.0,3506.0,3509.0,2339,1166961,1167720
2019-12-09 10:57:00.000000000,3509.0,3510.0,3505.0,3509.0,3738,1167720,1168425
2019-12-09 10:58:00.000000000,3509.0,3509.0,3507.0,3508.0,1381,1168425,1168370
2019-12-09 10:59:00.000000000,3508.0,3509.0,3507.0,3508.0,1430,1168370,1168501
2019-12-09 11:00:00.000000000,3508.0,3517.0,3507.0,3513.0,20876,1168501,1168585
2019-12-09 11:01:00.000000000,3513.0,3514.0,3510.0,3511.0,5140,1168585,1168732
2019-12-09 11:02:00.000000000,3511.0,3513.0,3509.0,3513.0,4206,1168732,1168801
2019-12-09 11:03:00.000000000,3513.0,3515.0,3511.0,3513.0,3560,1168801,1168909
2019-12-09 11:04:00.000000000,3513.0,3515.0,3510.0,3515.0,5476,1168909,1170271
2019-12-09 11:05:00.000000000,3515.0,3516.0,3513.0,3515.0,6996,1170271,1172062
